Wall time,Step,Value
1655085752.975783,0,0.11349999904632568
1655085754.5195856,1,0.0957999974489212
1655085756.0051801,2,0.10320000350475311
1655085757.5227668,3,0.10279999673366547
1655085759.021143,4,0.10279999673366547
1655085760.4970663,5,0.10279999673366547
1655085761.9810114,6,0.10279999673366547
1655085763.446857,7,0.10279999673366547
1655085764.9479847,8,0.10279999673366547
1655085766.3906083,9,0.10279999673366547
1655085767.836583,10,0.10279999673366547
1655085769.321776,11,0.10279999673366547
1655085770.746191,12,0.10279999673366547
1655085772.1749306,13,0.10279999673366547
1655085773.64831,14,0.10279999673366547
1655085775.1238818,15,0.10279999673366547
1655085776.555934,16,0.10279999673366547
1655085778.0002096,17,0.10279999673366547
1655085779.426728,18,0.10279999673366547
1655085780.8923137,19,0.10279999673366547
1655085782.3372433,20,0.10279999673366547
1655085783.7992961,21,0.10279999673366547
1655085785.2382925,22,0.10279999673366547
1655085786.6674554,23,0.10279999673366547
1655085788.1485143,24,0.10279999673366547
1655085789.5722857,25,0.10279999673366547
1655085790.9955206,26,0.10279999673366547
1655085792.442715,27,0.10279999673366547
1655085793.8862166,28,0.10279999673366547
1655085795.3745375,29,0.10279999673366547
1655085796.8136573,30,0.10279999673366547
1655085798.2682288,31,0.10279999673366547
1655085799.7189062,32,0.10279999673366547
1655085801.1504555,33,0.10279999673366547
1655085802.6297746,34,0.10279999673366547
1655085804.1325762,35,0.10279999673366547
1655085805.5795858,36,0.10279999673366547
1655085807.0156035,37,0.10279999673366547
1655085808.4591658,38,0.10279999673366547
1655085809.967722,39,0.10279999673366547
1655085811.4447758,40,0.10279999673366547
1655085812.9271772,41,0.10279999673366547
1655085814.4073098,42,0.10279999673366547
1655085815.8583195,43,0.10279999673366547
1655085817.327833,44,0.10279999673366547
1655085818.8121886,45,0.10279999673366547
1655085820.2485907,46,0.10279999673366547
1655085821.6775658,47,0.10279999673366547
1655085823.1039531,48,0.10279999673366547
1655085824.6028917,49,0.10279999673366547
1655085826.089429,50,0.10279999673366547
1655085827.6066904,51,0.10279999673366547
1655085829.0803132,52,0.10279999673366547
1655085830.554187,53,0.10279999673366547
1655085832.0142107,54,0.10279999673366547
1655085833.4511557,55,0.10279999673366547
1655085834.912579,56,0.10279999673366547
1655085836.35681,57,0.10279999673366547
1655085837.8473868,58,0.10279999673366547
1655085839.3183095,59,0.10279999673366547
1655085840.7986207,60,0.10279999673366547
1655085842.2708995,61,0.10279999673366547
1655085843.6964736,62,0.10279999673366547
1655085845.1579015,63,0.10279999673366547
1655085846.582597,64,0.10279999673366547
1655085848.0470943,65,0.10279999673366547
1655085849.495596,66,0.10279999673366547
1655085850.9756474,67,0.10279999673366547
1655085852.4387774,68,0.10279999673366547
1655085853.8673959,69,0.10279999673366547
1655085855.3129225,70,0.10279999673366547
1655085856.7429385,71,0.10279999673366547
1655085858.2055268,72,0.10279999673366547
1655085859.7330601,73,0.10279999673366547
1655085861.1727233,74,0.10279999673366547
1655085862.5948946,75,0.10279999673366547
1655085864.0392647,76,0.10279999673366547
1655085865.4775157,77,0.10279999673366547
1655085866.9493785,78,0.10279999673366547
1655085868.4239957,79,0.10279999673366547
1655085869.8573945,80,0.10279999673366547
1655085871.4878879,81,0.10279999673366547
1655085873.0274117,82,0.10279999673366547
1655085874.490157,83,0.10279999673366547
1655085875.9161558,84,0.10279999673366547
1655085877.3910508,85,0.10279999673366547
1655085878.8265042,86,0.10279999673366547
1655085880.2658355,87,0.10279999673366547
1655085881.7381556,88,0.10279999673366547
1655085883.1651926,89,0.10279999673366547
1655085884.5919304,90,0.10279999673366547
1655085886.0379357,91,0.10279999673366547
1655085887.5136745,92,0.10279999673366547
1655085888.9510756,93,0.10279999673366547
1655085890.3963063,94,0.10279999673366547
1655085891.8289952,95,0.10279999673366547
1655085893.28586,96,0.10279999673366547
1655085894.7708282,97,0.10279999673366547
1655085896.2521896,98,0.10279999673366547
1655085897.7074401,99,0.10279999673366547
1655085899.1545691,100,0.10279999673366547
1655085900.6006,101,0.10279999673366547
1655085902.0897038,102,0.10279999673366547
1655085903.5687194,103,0.10279999673366547
1655085905.0373633,104,0.10279999673366547
1655085906.5125391,105,0.10279999673366547
1655085907.9429727,106,0.10279999673366547
1655085909.4365366,107,0.10279999673366547
1655085910.8933976,108,0.10279999673366547
1655085912.3172302,109,0.10279999673366547
